word,mean_RT_ms,mean_accuracy,length,log_frequency,AoA,OLD20,concreteness,contextual_diversity,OLD20F,orthographic_neighbourhood_n,mean_D_Zscore,n_rows,n_subjects
inconvenience,1326.75,1,13,2.356025857,9.37,4.05,1.73,2.298853076,5.802,0,1.127,4,4
inconvenient,766.25,1,12,1.924279286,9.58,3.9,1.46,1.897627091,5.903,0,-0.101,4,4
incorporate,584.667,1,11,1.602059991,13.67,3.25,2.15,1.602059991,6.099,0,-0.659,3,3
incorporation,951.5,1,13,1.146128036,13.11,3.55,2.5,1.113943352,6.14,0,0.384,4,4
incorrect,631.0,1,9,2.056904851,6.65,3.65,2.07,1.919078092,6.775,0,-0.609,2,2
incorrigible,1013.0,0.6,12,1.602059991,12.57,4.55,2.11,1.531478917,5.517,1,0.911,1,1
incorruptibility,1701.25,0.93,16,0.477121255,13.58,6.35,1.96,0.477121255,4.49,0,2.135,4,4
incorruptible,1347.5,0.94,13,1.079181246,12.9,4.7,1.86,1.079181246,5.438,1,0.98,2,2
increase,634.0,1,8,2.640481437,7.42,2.65,2.61,2.57054294,7.096,0,-0.518,1,1
incredible,584.25,1,10,3.285332228,8.8,3.45,1.93,3.124830149,5.971,1,-0.558,4,4
incredulity,916.5,0.5,11,0.477121255,12.94,4.5,,0.477121255,6.447,0,0.451,2,2
incredulous,1228.0,0.82,11,0.954242509,13.12,4.35,2.04,0.954242509,5.691,0,1.065,1,1
increment,938.0,0.85,9,0.477121255,10.67,2.7,3.07,0.477121255,6.573,1,-0.103,5,5
incremental,1067.0,0.88,11,0.602059991,11.5,4.1,2.64,0.602059991,6.909,0,0.458,1,1
incriminate,1707.25,0.91,11,1.591064607,11.82,3.5,2.07,1.51851394,6.407,0,2.12,4,4
incriminating,969.0,0.88,13,1.806179974,11.68,3.9,2.1,1.763427994,5.688,0,0.811,3,3
incubate,948.0,0.94,8,0.77815125,11.35,2.75,3.5,0.698970004,6.155,0,0.056,3,3
incubation,802.0,0.91,10,1.342422681,11.17,2.8,3.32,1.230448921,6.314,0,-0.661,1,1
incubator,928.0,0.97,9,1.716003344,10,3.25,4.65,1.380211242,6.072,0,0.206,2,2
incubus,934.5,0.82,7,0.954242509,13.94,3.1,,0.954242509,6.636,0,1.379,2,2
incumbent,1062.5,0.85,9,1.544068044,14.33,3.2,3.18,1.544068044,6.738,0,-0.092,2,2
incurable,733.0,0.91,9,1.72427587,10.11,2.85,1.88,1.707570176,5.767,1,-0.169,3,3
incursion,595.0,0.76,9,1.146128036,15.43,2.75,2.67,1.079181246,6.664,0,0.078,1,1
indebted,936.0,0.76,8,1.77815125,12.67,2.45,2.18,1.748188027,6.761,1,0.359,2,2
indecency,709.333,0.84,9,1.146128036,12.15,3.6,2,1.146128036,5.546,0,-0.037,3,3
indecipherable,1213.0,0.69,14,0.77815125,12.89,5.65,1.76,0.77815125,5.65,1,0.645,1,1
indecision,790.5,0.97,10,1.361727836,10.72,3.3,1.62,1.322219295,6.62,0,-0.08,2,2
indecisive,699.0,1,10,1.447158031,11.67,3.35,2,1.380211242,5.686,0,-0.21,1,1
indecisiveness,1014.5,0.94,14,0.301029996,10.33,4.9,1.82,0.301029996,3.842,0,0.785,2,2
indecorous,582.0,0.23,10,0.602059991,16,3.85,,0.602059991,4.961,0,-0.072,1,1
indeed,648.75,0.97,6,3.315130317,7.735011,2,1.72,3.093071306,6.891,0,-0.463,4,4
indefensible,1231.5,0.83,12,1,11.67,4.05,1.65,1,6.023,1,0.692,2,2
indefinable,1210.0,0.76,11,0.77815125,11.88,3.4,1.55,0.77815125,5.287,1,1.068,3,3
indefinite,975.333,0.88,10,1.322219295,11.16,3.3,1.36,1.322219295,6.513,1,0.533,3,3
indelible,1213.5,0.61,9,1.176091259,12.07,3.05,2,1.176091259,5.449,1,2.462,2,2
indelicate,1234.0,0.57,10,1.230448921,11.94,3,2.07,1.204119983,5.676,0,0.269,1,1
indent,982.0,0.85,6,0.84509804,10.26,1.9,3.07,0.84509804,7.123,2,-0.073,2,2
indenture,1058.0,0.78,9,0.477121255,12.79,3.25,2.69,0.477121255,7.276,0,0.444,1,1
indentured,1192.5,0.78,10,1.176091259,12.67,3.55,2.04,1.146128036,6.516,1,1.731,2,2
independence,564.0,1,12,2.311753861,8.53,4.05,1.87,2.190331698,5.877,0,-0.989,1,1
independent,1480.0,0.97,11,2.679427897,9.28,3.4,2.04,2.572871602,6.692,0,0.865,1,1
indescribable,1599.0,0.8,13,1.414973348,11.72,4.6,1.5,1.397940009,5.521,1,1.841,4,4
indestructible,784.5,0.97,14,1.875061263,10.16,5.05,2.46,1.792391689,5.655,1,-0.116,2,2
indeterminate,1019.667,0.88,13,1.278753601,13.11,4.05,1.5,1.230448921,5.751,0,1.463,3,3
index,621.5,0.97,5,2.029383778,7.89,2,3.43,1.973127854,7.651,0,-0.485,2,2
indicate,707.5,0.94,8,2.629409599,9.74,2.1,2.39,2.563481085,6.531,0,-0.402,2,2
indication,1125.333,0.94,10,2.260071388,12,2.3,1.97,2.225309282,7.069,1,0.369,3,3
indicative,948.0,0.91,10,1.462397998,12.05,2.75,1.75,1.447158031,7.087,0,0.113,2,2
indicator,641.333,0.97,9,1.653212514,10.33,2.7,2.73,1.633468456,6.948,0,-0.361,3,3
indictment,1230.0,0.94,10,2.103803721,15.2,3.15,2.74,1.944482672,6.178,0,1.747,3,3
indifference,1045.333,0.87,12,1.748188027,9.22,4.15,1.85,1.707570176,6.868,0,0.236,3,3
indifferent,705.333,0.97,11,1.770852012,10.47,3.9,1.89,1.740362689,6.503,0,-0.37,3,3
indigent,701.0,0.93,8,1.397940009,13.82,2.6,1.79,1.230448921,6.708,0,0.042,1,1
indigestible,1156.333,0.97,12,0.602059991,11.94,4.2,2.48,0.602059991,5.283,1,1.901,3,3
indigestion,1003.333,0.97,11,1.982271233,10.11,3.5,3.57,1.903089987,6.532,0,0.907,3,3
indignant,828.0,0.82,9,1.380211242,12.28,3.45,1.71,1.361727836,6.962,0,0.15,3,3
indignation,797.0,0.72,11,1.397940009,13.18,2.9,2.37,1.380211242,6.516,0,0.141,1,1
indignity,1020.0,0.94,9,1.322219295,13.79,3.1,1.56,1.322219295,6.66,0,0.334,3,3
indigo,1073.0,1,6,1.230448921,8.89,2.8,4.36,0.903089987,7.376,0,0.179,3,3
indirect,598.0,0.91,8,1.342422681,11.26,2.7,2.57,1.342422681,6.273,0,-0.813,1,1
indirection,1239.0,0.9,11,0.301029996,13.75,2.85,,0.301029996,7.304,0,1.383,3,3
indiscreet,1299.0,0.69,10,1.414973348,14.39,3.8,1.8,1.414973348,7.011,0,1.635,2,2
indiscretion,1067.0,0.88,12,1.73239376,14.53,4.05,1.61,1.633468456,6.697,0,0.993,1,1
indiscriminate,1427.5,0.94,14,1,13.74,4.85,1.64,1,5.31,0,1.589,2,2
indispensable,2040.0,0.87,13,1.591064607,11.22,4.25,2.07,1.568201724,5.133,2,2.019,1,1
indisposition,1133.333,0.71,13,0.602059991,14,4.25,1.92,0.602059991,6.299,0,1.349,3,3
indisputable,970.0,0.91,12,1.041392685,12.47,4.05,1.89,1.041392685,5.481,1,0.12,1,1
indistinct,976.0,0.94,10,2.403120521,13.21,3.6,1.68,2.139879086,7.051,0,0.46,1,1
indistinguishable,1823.5,0.89,17,1.176091259,12.21,6.7,2.52,1.146128036,5.244,1,2.119,2,2
individual,604.75,0.97,10,2.775974331,7.7,3.9,3.52,2.687528961,7.19,0,-0.64,4,4
individualism,987.667,0.97,13,1.146128036,12.74,4,1.88,1.113943352,5.498,1,-0.082,3,3
individualist,597.0,1,13,0.477121255,12.4,3.9,2.76,0.477121255,5.39,1,-0.224,1,1
individualistic,1802.0,0.97,15,0.477121255,11.5,4.65,1.85,0.477121255,5.323,0,5.025,2,2
individuality,1022.5,1,13,1.643452676,9.94,3.6,2.07,1.531478917,5.691,0,-0.233,2,2
individualize,1160.5,0.97,13,0.698970004,10.83,3.75,2.38,0.477121255,5.125,0,0.851,4,4
indivisible,532.0,0.88,11,1.342422681,9.33,3.65,2.26,1.301029996,6.144,1,-0.436,1,1
indoctrinate,1138.0,0.87,12,0.698970004,15.31,4.15,2,0.698970004,5.903,0,1.015,1,1
indolence,766.0,0.77,9,0.301029996,12.81,2.8,,0.301029996,5.921,1,0.22,3,3
indolent,903.0,0.53,8,0.698970004,11.36,2.45,,0.698970004,6.063,1,0.788,1,1
indomitable,966.0,0.52,11,1.041392685,14.33,3.55,,0.954242509,5.48,1,1.497,1,1
indoor,574.0,0.97,6,1.838849091,5.05,2.8,3.64,1.77815125,7.177,0,-0.728,1,1
indoors,607.5,1,7,2.103803721,4.644481,2.85,4.17,2.021189299,6.739,0,-0.834,4,4
indubitable,1769.0,0.47,11,0.301029996,15.27,3.55,1.8,0.301029996,5.446,1,6.788,1,1
induce,720.5,0.97,6,1.919078092,12.05,2,2.34,1.875061263,7.133,1,0.047,2,2
inducement,1214.0,0.78,10,1.146128036,14.27,3.4,2.36,1.113943352,6.467,0,1.233,3,3
induct,540.0,0.88,6,0.602059991,11.72,2,2.59,0.602059991,6.941,2,-0.851,1,1
induction,943.0,0.91,9,1.579783597,13.37,2.3,2.62,1.556302501,6.867,0,0.512,1,1
inductive,936.5,0.97,9,0.477121255,14.82,2.6,2.04,0.477121255,6.086,0,0.115,4,4
indulge,691.0,1,7,2.170261715,11.44,2.8,2.56,2.1430148,6.68,0,-0.494,2,2
indulgence,1343.0,0.94,10,1.698970004,10.74,3.15,1.81,1.662757832,5.774,0,0.869,1,1
indulgent,705.0,1,9,1.322219295,11.84,2.8,1.55,1.322219295,5.939,0,-0.549,2,2
industrial,709.0,0.97,10,2.369215857,10.22,3.55,3,2.240549248,6.429,0,-0.049,2,2
industrialist,632.0,0.91,13,1.431363764,12.58,4.25,3,1.397940009,5.867,1,-0.12,2,2
industrialization,1126.0,1,17,0.602059991,11.45,5.55,2.12,0.602059991,5.224,0,1.003,3,3
industrious,817.0,0.97,11,1.255272505,11.55,3.6,2,1.230448921,5.2,0,-0.504,1,1
industry,645.667,1,8,2.775974331,10.44,3.45,3.29,2.586587305,6.531,0,-0.504,3,3
inebriate,835.0,0.53,9,0.602059991,12.6,3.55,2.54,0.602059991,6.109,0,1.548,1,1
inedible,1168.667,0.67,8,1.278753601,11.2,2.8,2.58,1.255272505,6.225,1,1.906,3,3
ineffective,757.5,0.91,11,1.491361694,10.68,3.55,1.57,1.431363764,6.577,0,-0.211,2,2
ineffectiveness,1123.5,0.97,15,0.301029996,10.82,5.45,1.96,0.301029996,5.225,0,0.939,4,4
ineffectual,884.0,0.65,11,1.380211242,14.59,4.4,2.12,1.301029996,6.701,0,0.136,1,1
inefficiency,850.667,1,12,1.230448921,11.79,4.1,1.57,1.230448921,6.254,0,0.372,3,3
inefficient,639.0,0.82,11,1.342422681,10.78,3.7,2,1.322219295,6.75,0,0.03,2,2
inept,1305.0,0.76,5,1.643452676,14.29,1.9,1.74,1.556302501,7.343,2,1.472,1,1
ineptitude,1098.0,0.62,10,0.77815125,13.72,3.5,1.79,0.77815125,5.732,1,1.122,1,1
inequality,1535.667,0.97,10,0.602059991,9.68,3.6,2.28,0.602059991,6.057,0,1.636,3,3
inequitable,768.667,0.91,11,0.301029996,15.21,3.4,1.4,0.301029996,5.099,1,0.251,3,3
inequity,1078.667,0.94,8,0.84509804,14.72,2.85,1.69,0.77815125,6.607,1,0.218,3,3
inert,1694.333,0.86,5,1.278753601,13.1,1.85,2.5,1.255272505,7.407,1,2.017,3,3
inertia,1069.0,0.88,7,1.505149978,12.84,2.8,2.43,1.397940009,6.295,0,0.792,2,2
inescapable,898.0,0.88,11,1.176091259,9.76,3.6,2.21,1.146128036,5.216,1,0.431,1,1
inessential,967.5,0.77,11,0.301029996,12.39,4,1.36,0.301029996,6.669,0,2.032,2,2
inevitable,772.5,0.97,10,2.460897843,11.6,2.8,1.54,2.403120521,5.043,1,-0.186,2,2
inexact,1712.0,0.81,7,0.84509804,12,2.8,1.52,0.84509804,5.973,0,1.824,1,1
inexcusable,898.0,0.84,11,1.643452676,7.71,3.7,1.57,1.62324929,5.158,1,0.751,1,1
inexhaustible,1603.5,0.77,13,1.041392685,11.63,4.8,1.92,1.041392685,5.206,1,2.37,2,2
inexorable,594.0,0.73,10,0.84509804,14.27,3.4,,0.84509804,5.678,1,-0.179,1,1
inexpensive,624.667,0.97,11,1.579783597,8.05,3.8,2.22,1.556302501,6.57,0,-0.147,3,3
inexperience,778.0,0.94,12,1.230448921,11.16,3.95,1.83,1.230448921,6.402,1,0.229,4,4
inexperienced,501.0,0.94,13,1.770852012,11.26,4.35,1.9,1.73239376,6.503,0,-1.001,1,1
inexpert,589.0,0.55,8,0.301029996,12.07,3.35,,0.301029996,7.033,0,-0.529,1,1
inexplicable,1196.667,0.91,12,1.591064607,12.82,3.5,1.21,1.556302501,5.39,1,0.848,3,3
inexpressible,997.5,0.93,13,0.602059991,12.63,4.25,1.69,0.602059991,6.07,1,0.429,2,2
infallible,720.667,0.79,10,1.51851394,11.56,3.55,1.88,1.505149978,5.338,1,-0.025,3,3
infamous,1070.5,0.94,8,2.06069784,11,3.7,1.76,2.025305865,6.238,0,0.473,2,2
infamy,664.0,0.79,6,1.361727836,10.56,2.8,1.75,1.322219295,6.993,0,-0.139,1,1
infancy,398.0,1,7,1.278753601,9.29,2.6,3.2,1.255272505,6.27,0,-1.116,1,1
infant,557.0,0.97,6,2.334453751,6.42,2.1,4.93,2.161368002,6.993,1,-0.754,3,3
infanticide,1338.333,0.68,11,0.602059991,16.27,4.45,,0.477121255,4.84,0,1.303,3,3
infantilism,1435.5,0.53,11,0.602059991,15.12,4.5,1.75,0.602059991,5.705,0,1.595,2,2
infantry,1376.0,0.85,8,2.161368002,12.26,2.95,4,1.934498451,6.63,0,1.498,1,1
infantryman,1158.0,0.39,11,0.77815125,10.44,4.8,4.36,0.698970004,5.88,1,1.275,1,1
infarct,1073.0,0.18,7,0.477121255,14.58,2.65,,0.477121255,6.776,0,1.375,1,1
infarction,931.5,0.55,10,1.176091259,13,2.75,2.15,1.113943352,6.95,0,0.29,2,2
infatuation,1508.667,0.97,11,1.643452676,12.6,3.25,2.24,1.568201724,6.225,0,0.994,3,3
infect,472.0,0.97,6,1.799340549,9.15,1.8,2.88,1.748188027,6.963,3,-0.293,2,2
infection,776.5,0.97,9,2.650307523,8.05,1.85,4.1,2.472756449,6.757,1,0.494,2,2
infectious,907.0,0.97,10,1.819543936,11.21,3,2.3,1.72427587,6.286,1,-0.161,3,3
infer,891.0,0.88,5,1.477121255,12.71,1.9,2.15,1.380211242,7.437,2,0.238,5,5
inference,1600.333,0.88,9,1.113943352,13.32,2.65,1.65,1.041392685,7.472,0,3.249,3,3
inferior,565.5,0.97,8,2.195899652,10.57,2.75,1.7,2.08278537,7.072,1,-0.379,2,2
inferiority,743.667,0.94,11,1.612783857,12,4.05,1.93,1.531478917,5.895,0,-0.284,3,3
infernal,1272.0,0.66,8,1.785329835,12.41,2.7,1.96,1.73239376,7.346,1,1.078,2,2
inferno,1109.333,0.89,7,1.681241237,10.53,2.75,3.72,1.672097858,7.489,0,0.161,3,3
infertile,739.0,0.88,9,1.176091259,14.32,2.9,2.46,1.146128036,6.206,1,-0.388,1,1
infertility,719.0,0.97,11,1.322219295,13.39,3.7,2.93,1.113943352,4.791,0,-0.041,2,2
infest,1497.5,0.97,6,1.176091259,9.58,1.8,2.71,1.079181246,7.031,4,0.311,2,2
infestation,1053.0,0.85,11,1.556302501,11.83,2.9,3.55,1.431363764,6.268,0,0.783,3,3
infidel,709.0,0.73,7,1.748188027,11.56,2.65,2.03,1.447158031,6.386,0,-0.53,1,1
infidelity,820.75,0.94,10,1.832508913,13.89,3.65,2.07,1.698970004,5.747,0,0.267,4,4
infield,844.333,0.88,7,1.397940009,8.11,2.55,4,1.278753601,6.13,1,0.248,3,3
infielder,964.0,0.68,9,0.477121255,8.94,3.5,4.5,0.477121255,6.624,0,0.17,1,1
infighting,841.0,0.63,10,1.113943352,12.53,3.15,,1.113943352,6.353,0,-0.546,2,2
infiltrate,727.0,0.9,10,1.934498451,12,3.35,2.71,1.892094603,5.907,0,-0.113,1,1
infiltration,988.0,0.97,12,1.612783857,13.06,3.35,2.23,1.568201724,6.483,0,1.099,1,1
infinite,731.0,1,8,2.252853031,9.6,2.65,1.59,2.155336037,6.637,1,-0.032,1,1
infinitesimal,709.0,0.32,13,1.176091259,14.23,6.15,,1.113943352,6.55,0,0.696,1,1
infinitive,771.0,1,10,0.602059991,13.28,3.25,1.27,0.602059991,6.636,0,0.341,2,2
infinity,739.2,0.94,8,1.939519253,8.83,2.55,,1.698970004,6.536,1,-0.259,5,5
infirm,1543.0,0.75,6,1.204119983,13.12,2.65,2.67,1.176091259,7.215,1,2.244,2,2
infirmary,934.0,0.79,9,2.178976947,12.83,3.55,4.55,1.939519253,6.256,0,1.94,1,1
infirmity,522.0,0.87,9,1.079181246,13,3.25,,1,6.338,0,-0.487,1,1
inflame,875.333,1,7,1.146128036,11.56,2.6,3,1.113943352,6.989,1,0.322,3,3
inflammable,683.333,1,11,1.146128036,10.05,3.6,3.12,1.079181246,5.329,0,0.14,3,3
inflammation,774.333,0.97,12,1.531478917,11,3.8,3.36,1.397940009,6.063,0,-0.35,3,3
inflammatory,1008.0,0.94,12,1.51851394,13.33,5.2,2.6,1.477121255,5.72,0,0.784,4,4
inflatable,622.667,0.94,10,1.579783597,9,3.3,3.07,1.51851394,5.332,0,-0.343,3,3
inflate,1330.5,0.94,7,1.414973348,8.37,2.4,3.34,1.361727836,6.552,1,1.668,2,2
inflated,863.333,0.94,8,1.431363764,9.5,2.35,3.93,1.431363764,6.555,2,-0.086,3,3
inflation,649.667,0.91,9,1.73239376,11.82,2.6,2.54,1.698970004,6.949,0,-0.353,3,3
inflect,954.0,0.84,7,0.301029996,10.75,2.25,2.48,0.301029996,6.649,1,0.888,1,1
inflection,875.333,0.81,10,1,10.33,2.25,1.79,0.954242509,6.726,1,0.041,3,3
inflexible,657.0,0.97,10,0.954242509,11.79,3.55,3.41,0.954242509,5.893,1,-0.541,2,2
inflict,799.333,0.94,7,1.84509804,10.74,2.55,2.75,1.812913357,5.893,1,-0.091,3,3
infliction,889.0,0.94,10,1.176091259,12,2.55,2.12,1.113943352,6.8,1,0.456,3,3
inflow,1155.0,0.81,6,0.698970004,11.6,2.8,2.69,0.602059991,7.142,0,0.257,2,2
influence,613.0,1,9,2.877946952,10.32,2.65,2.11,2.77815125,6.17,0,-1.057,1,1
influential,898.5,0.97,11,1.913813852,11.05,3.85,1.86,1.851258349,6.492,0,0.172,2,2
influenza,570.75,0.88,9,1.414973348,10.37,3.75,3.79,1.278753601,6.698,0,-0.413,4,4
influx,790.0,0.75,6,1.146128036,14.69,2.85,3,1.146128036,6.964,0,-0.207,1,1
info,752.0,0.97,4,2.278753601,9.37,1.95,2.39,2.227886705,8.594,2,-0.653,2,2
inform,530.0,0.97,6,2.809559715,8.79,2.2,2.25,2.710117365,7.361,1,-0.726,2,2
informal,610.0,0.97,8,1.939519253,10.32,2.55,2.22,1.913813852,7.567,0,-0.777,2,2
informality,918.667,1,11,0.903089987,12.05,3.2,1.91,0.903089987,6.385,0,0.2,3,3
informant,1273.0,0.84,9,2.330413773,12.32,2.85,3.27,1.986771734,6.554,0,2.886,1,1
information,793.5,0.97,11,3.658774321,7.19,2.65,2.87,3.375480715,6.267,0,-0.354,2,2
informational,696.5,0.9,13,1.176091259,9.17,4,2.04,1.176091259,6.494,0,-0.05,2,2
informative,1031.0,0.91,11,1.556302501,10.16,3.55,1.54,1.544068044,6.662,0,1.326,2,2
informer,890.0,1,8,1.806179974,11.67,2.6,3.15,1.707570176,7.184,1,0.285,2,2
infraction,944.8,0.97,10,1.544068044,13.53,2.5,2.5,1.51851394,6.893,0,0.028,5,5
infrared,706.0,0.68,8,2.193124598,13.11,2.85,3.34,2.037426498,6.191,0,-0.149,2,2
infrastructure,1288.0,0.81,14,1.785329835,13.41,5.4,3.38,1.643452676,6.206,0,1.994,4,4
infrequent,665.333,1,10,0.77815125,9.32,3.6,1.7,0.77815125,6.595,0,-0.655,3,3
infringe,1148.667,0.82,8,0.903089987,14.56,2.95,1.93,0.84509804,6.2,0,0.163,3,3
infringement,1417.75,0.91,12,1,13.28,4.3,2.25,1,5.826,0,1.338,4,4
infuriate,1085.0,0.79,9,0.698970004,10.5,3.1,2.07,0.698970004,5.886,0,1.526,3,3
infuriating,1332.0,0.85,11,1.414973348,10.58,3.5,2.55,1.397940009,5.864,0,1.064,2,2
infuse,961.0,0.91,6,1,14.37,2.35,2.92,1,6.976,0,-0.314,1,1
infusion,684.333,1,8,1.278753601,12.12,2.5,2.96,1.204119983,6.549,0,-0.128,3,3
ingenious,712.0,0.85,9,2.037426498,10.32,3.05,1.89,1.995635195,6.254,1,-0.259,2,2
ingenuity,1094.0,0.79,9,1.681241237,11.79,3.25,1.68,1.643452676,6.669,0,1.343,2,2
ingest,903.0,0.8,6,1.380211242,12.21,1.85,3.79,1.361727836,7.043,3,-0.29,1,1
ingestion,864.0,0.91,9,1.204119983,13.84,2.55,3.12,1.176091259,7.5,0,0.26,2,2
ingot,934.0,0.21,5,0.477121255,13.43,2,,0.477121255,7.64,0,0.003,1,1
ingrain,771.0,0.52,7,0.301029996,11.18,2.85,2.28,0.301029996,6.544,0,0.235,1,1
ingratiate,782.0,0.48,10,1.041392685,13.73,3.75,,1,5.717,0,1.196,2,2
ingratitude,2262.0,0.86,11,1.176091259,12.21,4.15,1.56,1.176091259,5.544,0,2.952,2,2
ingredient,701.333,0.94,10,2.127104798,7.85,3.7,3.84,2.008600172,6.426,0,-0.12,3,3
ingredients,817.0,1,11,2.041392685,6.693135,4.45,4.16,1.986771734,6.48,0,-0.373,4,4
ingrown,950.0,0.91,7,1.255272505,10.24,2.9,3.14,1.146128036,7.098,0,0.603,3,3
inhabit,1124.0,1,7,1.531478917,12.22,2.65,3.21,1.505149978,6.394,1,-0.39,1,1
inhabitable,1417.333,1,11,0.301029996,11,3.15,2.58,0.301029996,5.357,0,1.489,3,3
inhalation,1065.5,0.94,10,1.531478917,11.76,2.85,3.67,1.462397998,6.322,0,0.229,2,2
inhale,614.0,0.97,6,2.08278537,7.26,2.25,3.84,1.944482672,7.349,0,-0.609,2,2
inhaler,933.333,0.94,7,1.785329835,10.26,2.8,4.71,1.602059991,6.57,2,0.815,3,3
inharmonious,1633.5,0.71,12,0.301029996,13.2,4.35,2.25,0.301029996,4.458,1,1.311,2,2
inherent,789.0,0.94,8,1.491361694,12.32,2.6,1.64,1.477121255,6.75,0,-0.309,2,2
inherit,661.0,0.97,7,2.260071388,9.05,2.5,2.04,2.193124598,6.924,0,-0.115,3,3
inheritance,1767.0,0.94,11,2.212187604,12.05,3.9,3.1,2.071882007,6.624,0,2.762,1,1
inhibit,557.5,0.94,7,1.255272505,11.11,2.6,2.1,1.230448921,6.913,1,-0.611,4,4
inhibition,1766.0,1,10,1.361727836,12.78,2.75,1.93,1.230448921,6.514,0,0.458,1,1
inhibitor,597.0,1,9,1.832508913,13.19,2.85,2.81,1.447158031,6.602,0,-0.352,2,2
inhuman,703.667,0.97,7,1.963787827,11.37,2.85,2.14,1.919078092,7.145,0,-0.195,3,3
inhumane,912.667,0.91,8,1.380211242,11.26,3.15,2.11,1.301029996,6.662,0,0.431,3,3
inhumanity,1086.667,0.91,10,1.079181246,13.17,3.6,1.57,1.079181246,5.707,0,0.643,3,3
inimitable,1170.0,0.5,10,0.954242509,13.5,3.35,,0.84509804,5.552,1,2.014,2,2
iniquity,923.0,0.65,8,1.431363764,12.8,2.95,,1.322219295,6.537,1,0.503,1,1
initially,1000.5,1,9,2.025305865,9.606617,3.2,1.62,1.977723605,6.634,0,0.222,2,2
initiate,792.5,0.88,8,2.23299611,10.17,2.25,2.71,2.1430148,6.117,0,-0.338,2,2
initiation,1357.0,0.91,10,1.838849091,9.88,2.7,2.17,1.785329835,6.738,0,1.384,2,2
initiative,752.0,0.97,10,2.149219113,10.12,3.2,2.03,2.089905111,6.611,0,0.35,1,1
inject,616.25,1,6,2.093421685,10.17,1.9,4.28,2.021189299,6.905,2,-0.588,4,4
injection,780.0,1,9,2.326335861,10.68,2.1,3.86,2.173186268,7.052,1,0.004,2,2
injudicious,271.0,0.74,11,0.301029996,15.24,4.25,,0.301029996,5.577,0,-1.37,1,1
injunction,1107.0,0.94,10,1.826074803,12.5,2.65,2.41,1.612783857,6.505,0,-0.101,2,2
injure,880.0,0.79,6,1.716003344,7.53,1.8,3.48,1.653212514,6.407,3,-0.023,1,1
injury,691.5,0.97,6,2.716837723,7.56,2.55,4,2.602059991,6.882,1,-0.702,2,2
injustice,990.0,0.94,9,2.214843848,10.89,3.5,1.4,2.149219113,7.02,0,0.152,1,1
ink,576.0,1,3,2.583198774,5.16,1.25,4.56,2.442479769,8.87,6,-0.971,3,3
inkling,1070.5,0.76,7,1.556302501,12.89,2.2,2.25,1.505149978,6.867,0,0.757,2,2
inkwell,825.333,0.85,7,1.146128036,11.76,3.55,4.52,1.041392685,6.83,1,-0.241,3,3
inky,666.0,0.79,4,1.079181246,9.29,1.8,3.56,0.903089987,7.736,1,-0.663,1,1
inlaid,1625.0,0.57,6,1,13.69,2.4,,1,6.959,1,1.657,1,1
inlay,917.0,0.56,5,1.146128036,13.39,2,3.41,1.113943352,7.041,0,-0.22,2,2
inmate,875.333,0.94,6,2.139879086,8.9,2,4.19,1.897627091,6.847,1,0.125,3,3
inmost,370.0,0.61,6,0.77815125,12.8,2.4,2.28,0.602059991,7.044,1,-0.964,1,1
inn,538.333,0.94,3,2.632457292,7.52,1.7,4.64,2.250420002,9.221,8,-0.509,3,3
innards,679.0,0.62,7,1.322219295,9.89,2.8,3.96,1.322219295,7.05,1,0.061,2,2
innate,1046.333,0.85,6,1.602059991,13.58,2.05,1.73,1.556302501,6.829,1,0.334,3,3
inner,550.667,0.94,5,2.705863712,7.94,1.75,2.86,2.583198774,7.241,2,-0.739,3,3
inning,889.5,0.81,6,2.11058971,7.12,1.7,3.25,1.832508913,6.495,1,0.144,2,2
innkeeper,869.667,0.94,9,1.361727836,8.37,3.9,4,1.361727836,5.708,0,0.543,3,3
innocence,507.0,0.94,9,2.527629901,9.39,3.05,1.89,2.394451681,5.951,0,-0.668,1,1
innocent,616.0,1,8,3.444200989,5.95,2.75,1.54,3.189490314,6.519,0,-0.631,3,3
innocuous,932.5,0.74,9,1.397940009,14,3.85,2.08,1.322219295,5.708,0,1.28,2,2
innovate,1004.0,0.97,8,0.698970004,11.28,2.75,2.3,0.602059991,6.393,0,-0.168,4,4
innovation,927.5,0.97,10,1.544068044,12.68,2.6,1.97,1.505149978,6.602,0,0.071,4,4
innovative,670.5,0.97,10,1.72427587,11.17,3.4,2.17,1.633468456,6.697,0,-0.108,2,2
innovator,1075.5,0.88,9,1.041392685,10.06,3.35,2.52,1,6.43,0,0.295,2,2
innumerable,1724.0,0.89,11,1.041392685,11.82,3.6,2.19,1.041392685,4.805,0,3.291,1,1
inoculate,1567.0,0.61,9,1.278753601,12.54,2.9,2.8,1,6.129,0,0.817,2,2
inoculation,1681.0,0.65,11,1.255272505,12.67,3.05,3.32,1.113943352,6.46,0,1.136,1,1
inoffensive,1014.5,0.7,11,1.113943352,11.63,4.1,2.21,1,6.861,0,0.723,2,2
inoperative,1553.0,0.52,11,1.204119983,12,3.45,2.4,1.041392685,7.122,0,1.554,1,1
inordinate,1267.333,0.94,10,1.204119983,14.6,3.2,1.79,1.204119983,6.042,0,1.786,3,3
inorganic,881.0,0.91,9,0.903089987,13.37,3.9,2.43,0.77815125,6.909,0,0.77,1,1
