word,mean_RT_ms,mean_accuracy,length,log_frequency,AoA,OLD20,concreteness,contextual_diversity,OLD20F,orthographic_neighbourhood_n,mean_D_Zscore,n_rows,n_subjects
acme,668.0,0.85,4,1.812913357,9.54,1.8,,1.301029996,9.03,3,-0.463,1,1
acne,525.5,0.94,4,1.672097858,11.4,1.75,4.89,1.579783597,8.73,4,-0.623,2,2
acolyte,469.0,0.35,7,0.903089987,13.77,3.2,,0.903089987,7.248,0,-1.152,1,1
acorn,1007.333,0.79,5,1.579783597,5.95,1.8,4.96,1.230448921,7.866,2,0.2,3,3
acoustic,551.0,0.97,8,1.698970004,12.39,3.1,3.28,1.505149978,7.004,0,-0.498,1,1
acoustical,951.667,0.94,10,0.84509804,12.9,3.6,2.42,0.698970004,6.992,0,1.241,3,3
acoustics,836.5,0.91,9,1.361727836,11.32,3.5,3.12,1.361727836,6.878,0,0.137,2,2
acquaintance,789.6,1,12,2.437750563,10.48,5.3,3.41,2.361727836,6.176,0,0.126,5,5
acquiesce,765.0,0.59,9,0.602059991,14.25,3.6,2.21,0.602059991,7.135,0,0.351,2,2
acquiescence,798.0,0.75,12,0.77815125,13.61,4.4,,0.77815125,5.979,0,-0.222,1,1
acquiescent,614.0,0.57,11,0.301029996,14.18,4.1,,0.301029996,5.878,0,-0.412,1,1
acquire,909.5,0.94,7,2.133538908,9.94,2.55,2.93,2.093421685,7.094,0,0.043,4,4
acquisition,750.5,0.94,11,1.875061263,13.63,3.55,2.6,1.812913357,7.027,0,-0.144,2,2
acquisitiveness,2531.5,0.64,15,0.301029996,14.38,5.75,,0.301029996,4.084,0,3.186,2,2
acquit,1240.5,0.86,6,1.397940009,13.22,2.75,2.13,1.301029996,7.57,0,1.15,4,4
acquittal,1969.667,0.81,9,1.579783597,12.39,3.85,2.38,1.531478917,6.712,0,2.389,3,3
acre,795.0,0.97,4,1.973127854,9.8,1.7,4.18,1.748188027,8.327,3,-0.246,3,3
acreage,896.0,0.19,7,1.361727836,13.13,2.9,,1.301029996,6.957,0,2.68,1,1
acrid,731.0,0.52,5,0.477121255,14.07,1.9,2.68,0.477121255,7.998,0,0.067,1,1
acrimonious,1459.0,0.33,11,0.903089987,16.3,4.35,,0.77815125,5.154,0,0.779,2,2
acrobat,700.0,0.97,7,1.491361694,8.05,2.85,4.46,1.342422681,5.958,0,-0.584,3,3
acrobatic,1076.5,0.97,9,1.113943352,9.38,3.05,3.14,1.113943352,6.09,1,1.018,2,2
acrobatics,1261.667,0.94,10,1.079181246,9,3.4,4.36,1.041392685,6.042,1,0.956,3,3
acronym,1601.0,0.79,7,1.204119983,11.56,3,2.64,1.176091259,6.979,0,1.806,1,1
across,502.5,1,6,3.681422156,6.63734,2.15,3.07,3.461348434,7.195,0,-0.196,2,2
acrylic,644.333,0.97,7,1.380211242,11.56,3.2,4.31,1.204119983,6.536,0,-0.265,3,3
act,701.0,1,3,3.745543202,6.42,1.5,2.46,3.489536629,9.114,9,-0.46,4,4
action,525.667,1,6,3.493597449,6.67,1.85,2.86,3.26904571,8.116,0,-0.749,3,3
activate,578.0,0.97,8,2.378397901,11.11,2.6,2.97,2.206825876,6.295,0,-0.75,2,2
activation,660.5,1,10,1.643452676,9.78,2.8,2.41,1.531478917,6.682,0,-0.14,2,2
active,700.0,1,6,2.767155866,6.53,2.1,3.32,2.667452953,7.557,0,-0.869,3,3
activism,921.25,0.97,8,1,11.89,3.2,1.79,1,6.387,2,0.438,4,4
activist,638.333,1,8,1.707570176,11.8,3.2,3.34,1.612783857,6.69,1,-0.696,3,3
activity,663.0,1,8,2.818225894,6.47,2.55,2.72,2.716003344,6.887,0,-0.389,2,2
